product_id,name,category,price_brl,material,brand,tags,rating
1,Jogo de Panelas Antiaderente 5pç,Cozinha,349.9,Alumínio,Praticli Home,panelas antiaderente fogão cozinha fácil limpeza,4.6
2,Conjunto de Facas Inox 6pç,Cozinha,129.9,Aço Inoxidável,ChefLine,facas inox cozinha corte preciso suporte magnético,4.4
3,Assadeira Retangular 3L,Cozinha,69.9,Vidro Temperado,GlassCook,assadeira forno lasanha gratinado vidro,4.5
4,Tábua de Corte Bamboo,Cozinha,59.9,Bambu,EcoBoard,tábua corte bamboo sustentável cozinha,4.7
5,Airfryer 4L Digital,Cozinha,429.0,PP + Componentes Eletrônicos,AirLite,airfryer fritadeira sem óleo digital saudável,4.8
6,Jogo de Copos 6x 300ml,Mesa,49.9,Vidro,CrystalDay,copos vidro mesa bebidas sucos água,4.3
7,Garrafa Térmica 1L Inox,Mesa,139.9,Aço Inoxidável,TermoMax,garrafa térmica inox café chá conservação,4.6
8,Jogo Americano 4pç Linho,Mesa,79.9,Linho Sintético,TableStyle,jogo americano mesa decoração linho elegante,4.2
9,Kit Organizadores de Geladeira 6pç,Organização,119.9,Plástico BPA-free,FridgeFit,organizadores geladeira cozinha transparência organização,4.4
10,Potes Herméticos 5pç,Organização,99.9,Plástico BPA-free,SealBox,potes herméticos mantimentos cozinha vedação,4.5
